name,top_seller
Wii Sports,82.53
Grand Theft Auto V,56.57
Super Mario Bros.,45.31
Tetris,35.84
Mario Kart Wii,35.52
Wii Sports Resort,32.77
Pokemon Red/Pokemon Blue,31.37
Call of Duty: Black Ops,30.82
Call of Duty: Modern Warfare 3,30.59
New Super Mario Bros.,29.8
Call of Duty: Black Ops II,29.4
Wii Play,28.92
New Super Mario Bros. Wii,28.32
Duck Hunt,28.31
Call of Duty: Ghosts,27.4
Super Mario World,26.07
Call of Duty: Black Ops 3,25.68
Call of Duty: Modern Warfare 2,24.95
Nintendogs,24.67
Minecraft,24.16
Grand Theft Auto: San Andreas,23.84
Mario Kart DS,23.21
Pokemon Gold/Pokemon Silver,23.1
Wii Fit,22.7
Super Mario Bros. 3,22.48
Grand Theft Auto IV,22.39
Super Mario 64,22.19
Call of Duty: Advanced Warfare,21.99
Kinect Adventures!,21.81
Wii Fit Plus,21.79
