Year_of_Release,NA,EU,JP,Others
1980,10.59,0.67,0,0.12
1981,33.4,1.96,0,0.32
1982,26.92,1.65,0,0.31
1983,7.76,0.8,8.1,0.14
1984,33.28,2.1,14.27,0.7
1985,33.73,4.74,14.56,0.92
1986,12.5,2.84,19.81,1.93
1987,8.46,1.41,11.63,0.2
1988,23.87,6.59,15.76,0.99
1989,45.15,8.44,18.36,1.5
1990,25.46,7.63,14.88,1.4
1991,12.76,3.95,14.78,0.74
1992,33.89,11.71,28.91,1.65
1993,16.9,5.18,25.36,0.97
1994,28.16,14.88,33.99,2.2
1995,24.83,14.9,45.75,2.64
1996,86.76,47.26,57.44,7.69
1997,94.75,48.32,48.87,9.13
1998,128.36,66.9,50.04,11.01
1999,126.06,62.67,52.34,10.04
2000,94.5,52.77,42.77,11.62
2001,173.98,94.89,39.86,22.73
2002,216.19,109.75,41.76,27.27
2003,193.61,103.81,34.2,25.92
2004,222.51,107.28,41.65,47.24
2005,242.15,121.11,54.27,40.29
2006,262.13,127.89,73.74,53.95
2007,309.89,157.82,60.29,76.75
2008,348.69,181.14,60.25,81.42
2009,335.55,187.94,61.89,73.44
2010,300.65,171.42,59.49,58.57
2011,238.79,162.97,53.07,52.75
2012,153.26,114.59,51.8,36.19
2013,153.65,121.55,47.69,38.35
2014,132.27,122.74,39.69,36.83
2015,106.86,96.72,34.09,30.31
2016,44.93,51.22,19.31,14.48
2017,0,0,0.06,0
